
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2020-06-13	65	12	2	32	50	5
2020-06-17	10	7	68	64	63	10
2020-06-20	67	10	31	63	41	5
2020-06-24	15	22	46	27	33	23
2020-06-27	36	56	49	62	9	8
2020-07-01	53	28	15	52	63	18
2020-07-04	60	16	21	27	61	6
2020-07-08	36	10	3	34	62	5
2020-07-11	61	14	19	62	64	4
2020-07-15	61	69	47	27	62	4
2020-07-18	32	59	13	58	16	9
2020-07-22	16	36	25	44	55	14
2020-07-25	36	5	62	21	61	18
2020-07-29	7	40	29	35	45	26
2020-08-01	43	48	36	25	6	24
2020-08-05	65	7	14	57	17	24
2020-08-08	14	2	3	40	51	24
2020-08-12	18	6	36	2	37	21
2020-08-15	5	34	56	45	12	3
2020-08-19	13	47	55	23	58	23
2020-08-22	36	19	42	30	66	14
2020-08-26	8	19	47	58	12	2
2020-08-29	22	5	21	29	43	10
2020-09-02	11	20	4	69	1	18
2020-09-05	27	15	22	47	21	7
2020-09-09	55	27	64	52	60	21
2020-09-12	16	67	17	53	20	4
2020-09-16	31	10	17	51	53	1
2020-09-19	14	47	57	23	11	14
2020-09-23	8	17	52	59	49	1
2020-09-26	62	36	11	21	27	24
2020-09-30	67	49	18	14	36	18
2020-10-03	18	47	31	43	36	20
2020-10-07	6	56	53	30	24	19
2020-10-10	23	50	18	40	5	18
2020-10-14	37	52	58	53	21	5
2020-10-17	6	31	37	10	44	23
2020-10-21	44	13	1	3	56	26
2020-10-24	27	65	45	20	18	6
2020-10-28	37	40	11	28	53	13
2020-10-31	40	2	42	55	6	24
2020-11-04	49	33	45	23	32	14
2020-11-07	16	14	58	37	48	18
2020-11-11	63	13	45	17	15	13
2020-11-14	45	32	7	18	15	20
2020-11-18	17	4	43	5	52	5
2020-11-21	69	54	57	51	60	11
2020-11-25	57	2	65	58	60	26
2020-11-28	12	51	44	8	18	18
2020-12-02	40	28	31	41	46	4
2020-12-05	4	53	6	48	3	10
2020-12-09	47	31	14	48	11	4
2020-12-12	56	17	54	63	69	20
2020-12-16	37	4	67	23	61	7
2020-12-19	27	52	43	32	34	13
2020-12-23	6	38	53	39	13	6
2020-12-26	35	53	27	24	10	18
2020-12-30	45	65	43	61	3	14
2021-01-02	3	67	41	4	11	5
2021-01-06	1	66	20	22	60	3
2021-01-09	45	46	26	14	38	13
2021-01-13	49	4	23	25	19	14
2021-01-16	67	20	65	14	39	2
2021-01-20	53	60	40	68	69	22
2021-01-23	8	5	17	28	27	14
2021-01-27	35	52	17	42	33	9
2021-01-30	61	2	7	52	1	4
2021-02-03	64	66	40	5	37	5
2021-02-06	48	1	65	16	49	8
2021-02-10	67	63	58	15	39	7
2021-02-13	68	33	20	63	28	20
2021-02-17	15	46	21	1	32	1
2021-02-20	22	8	32	4	58	4
2021-02-24	65	33	4	53	43	21
2021-02-27	44	31	2	52	28	18
2021-03-03	55	44	21	50	40	16
2021-03-06	50	11	58	52	31	18
2021-03-10	44	17	53	18	37	18
2021-03-13	56	61	11	51	5	2
2021-03-17	62	61	38	34	42	19
2021-03-20	6	61	42	1	22	4
2021-03-24	38	27	4	17	9	18
2021-03-27	39	65	6	14	38	6
2021-03-31	3	55	10	44	68	24
2021-04-03	39	17	12	53	1	5
2021-04-07	27	66	35	39	51	16
2021-04-10	16	53	23	50	14	3
2021-04-14	13	45	33	30	61	14
2021-04-17	41	21	26	10	49	25
2021-04-21	25	32	21	67	63	6
2021-04-24	36	61	59	22	48	22
2021-04-28	16	35	53	18	39	21
2021-05-01	47	36	63	35	61	3
2021-05-05	63	28	16	40	23	1
2021-05-08	20	17	12	21	26	8
2021-05-12	20	19	1	38	54	17
2021-05-15	39	4	10	37	69	24
2021-05-19	11	69	13	56	55	4
2021-05-22	40	3	27	37	19	8
2021-05-26	21	62	34	8	2	16
2021-05-29	13	11	46	22	27	20
2021-06-02	67	7	6	11	66	19
2021-06-05	64	52	44	69	54	26
2021-06-09	54	46	28	50	19	9
2021-06-12	8	41	38	25	34	10
2021-06-16	19	34	50	44	29	25
2021-06-19	38	22	4	39	35	20
2021-06-23	20	40	63	13	51	1
2021-06-26	31	60	43	8	39	17
2021-06-30	50	66	24	65	29	14
2021-07-03	26	55	40	41	65	24
2021-07-07	8	49	57	30	21	8
2021-07-10	29	1	62	5	54	3
2021-07-14	52	62	33	59	46	10
2021-07-17	54	38	22	15	66	3
2021-07-21	27	44	67	28	68	11
2021-07-24	4	11	67	1	59	10
2021-07-28	53	25	60	59	30	5
2021-07-31	21	22	34	1	47	4
2021-08-04	36	5	21	58	32	14
2021-08-07	24	54	7	60	36	23
2021-08-11	18	12	29	20	30	16
2021-08-14	6	65	49	67	21	18
2021-08-18	36	61	55	51	35	26
2021-08-21	59	39	36	16	28	4
2021-08-23	47	17	61	36	60	15
2021-08-25	39	59	27	54	56	24
2021-08-28	12	59	46	26	22	26
2021-08-30	61	3	51	45	15	8
2021-09-01	10	20	29	48	51	17
2021-09-04	54	32	35	40	52	1
2021-09-06	33	11	54	22	20	24
2021-09-08	22	9	41	61	47	21
2021-09-11	40	38	31	20	49	21
2021-09-13	37	63	61	50	40	21
2021-09-15	46	4	62	1	18	25
2021-09-18	45	39	5	57	36	11
2021-09-20	58	51	37	54	60	19
